"caseid","state","age","gender","citizen","marital_stat","veteran","active_armedforces","emp_status","multi_jobs","work_class","retired","fulltime_emp","hours_worked","fam_income","household_size","household_kids","household_child","phys_challenge","travel","phone","volunteer","religion","sports","social","food","gov_civic","household","pro_services","purchasing","education","work","care_nonhousehold","care_household","household_chores","personal_care","sleep","groom","health_related","eating","class","homework","socializing"
"20161211160614","Florida",79,"Female","Foreign born, not US citizen","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$7,500 to $9,999",1,0,"No","Has difficulty",0,0,0,360,60,330,30,0,0,0,0,0,0,0,0,120,540,480,60,0,30,0,0,330
"20160908161940","Ohio",20,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",34,"$40,000 to $49,999",11,4,"Yes","No difficulty",60,0,0,0,0,0,45,0,0,0,0,0,600,0,0,70,540,495,45,0,45,0,0,0
"20160605160678","Florida",57,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, nonprofit","No answer","Full time",40,"$100,000 to $149,999",3,1,"Yes","No difficulty",80,0,0,0,0,268,70,0,0,0,0,0,461,0,15,95,451,398,53,0,70,0,0,268
"20160112150011","Arizona",34,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",42,"$50,000 to $59,999",1,0,"No","No difficulty",70,30,0,0,0,245,65,0,0,0,0,0,500,0,0,45,485,445,40,0,65,0,0,245
"20161009161876","New York",74,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",32,"$30,000 to $34,999",2,0,"No","No difficulty",40,0,0,0,30,570,80,0,0,0,60,0,0,0,0,85,575,555,20,0,80,0,0,570
"20160402161365","California",22,"Male","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",15,"$60,000 to $74,999",5,0,"No","No difficulty",175,0,0,0,40,150,69,0,0,0,160,0,295,15,0,1,535,480,55,0,69,0,0,150
"20161211161046","Illinois",64,"Female","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$75,000 to $99,999",2,0,"No","No difficulty",127,0,0,0,75,430,55,0,0,0,155,0,0,0,0,126,472,420,52,0,55,0,0,430
"20160605161719","Minnesota",47,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, local","No answer","Full time",40,"$150,000 and over",3,0,"No","No difficulty",0,60,0,0,0,420,0,0,0,0,30,0,120,0,0,300,510,500,10,0,0,0,0,420
"20160403162495","Missori",47,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Self-employed, unincorporated","No answer","Full time",35,"$100,000 to $149,999",5,1,"Yes","No difficulty",66,0,60,0,0,125,40,0,0,0,0,0,285,0,45,474,345,345,0,0,40,0,0,125
"20160212151034","New York",70,"Male","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$15,000 to $19,999",1,0,"No","No difficulty",180,2,0,0,0,413,15,20,0,0,0,0,0,0,0,80,730,615,55,0,15,0,0,413
