"timestamp","calories","sat_fat","sodium","sugar","carbs","total_fat","healthy_level","serving_size","ingredients","name","salty_sweet"
2013-10-07 06:48:00,160,5,130,12,13,80,"Healthy",1,"milk, vitamin D3","milk","Sweet"
2013-09-30 07:43:00,90,0,80,7,19,2,"Neither healthy nor unhealthy",1,"granola, whole grain rolled wheat,soybean oil","chewy","Sweet"
2013-10-10 08:05:00,250,3,250,23,36,1,"Neither healthy nor unhealthy",3,"sugar enrich bleach flour","oreo","Sweet"
2013-10-04 16:56:00,45,1,160,0,8,1,"Slightly Unhealthy",1,"Enriched Flour, Vegetable Oil, Corn Syrup","Saladitas","Salty"
2013-09-14 09:58:00,200,1,330,1,30,8,"Unhealthy",1,"Enriched corn meal, vegetable oil, sugar","Baked Cheetos","Salty"
2013-10-10 09:58:00,90,5,105,8,17,2,"Slightly Unhealthy",1,"Rice sugar salt","Ricekrispies","Sweet"
2013-10-10 08:36:00,130,0,270,34,34,0,"Slightly Unhealthy",1,"Water, sugar, dextrose","Gatorade orange","Sweet"
2013-10-27 19:21:00,110,1,135,12,26,1,"Unhealthy",2,"sugarcorn flourdegerminated yellow","froot loops","Sweet"
2013-10-10 10:16:00,240,4,150,15,34,11,"Neither healthy nor unhealthy",1,"Enriched Flour,Bleached wheat flour,Niacin","Grandmas Mini sandwich Cremes","Sweet"
2013-10-14 13:54:00,250,5,25,25,30,13,"Neither healthy nor unhealthy",1,"milk chocolate,  sugar, peanuts","m&m","Sweet"
2013-10-10 09:36:00,190,2,350,5,23,10,"Unhealthy",1,"Enriched flour vegetable oil buttermilk","Cheddar cheese","Salty"
2013-10-14 20:10:00,150,1,0,0,27,3,"Neither healthy nor unhealthy",2,"100 percent whole grain rolled oats","Old fashioned oats","Sweet"
2013-11-01 18:26:00,110,0,15,25,0,0,"Slightly Unhealthy",1,"100%juice .pineaple.copper","apple berry","Salty"
2013-10-10 09:11:00,140,1,200,0,16,8,"Slightly Unhealthy",4,"corn,vegatableoil,maltodextrin.","doritos dinamita","Salty"
2013-10-10 09:41:00,140,1,180,1,18,7,"Neither healthy nor unhealthy",1,"Corn, Vegetable Oil (Corn, Canola and/or Sunflower Oil), Maltodextrin","Munchies Flamin' Hot","Salty"
2013-10-10 09:48:00,200,1,210,13,42,2,"Neither healthy nor unhealthy",1,"brownie mix, cocoa, corn syrup","chocolate chip brownie","Sweet"
2013-10-24 09:54:00,95,1,2,19,25,1,"Healthy",1,"apple,apple,apple","apple","Sweet"
2013-10-05 15:15:00,20,0,35,4,5,0,"Neither healthy nor unhealthy",5,"0sugar,corn syrup,modified corn starchstarch","pica fresa","Sweet"
2013-10-10 10:19:00,200,1,330,1,30,8,"Neither healthy nor unhealthy",1,"enriched corn meal,  vegetable oil,  salt","baked cheetos","Salty"
2013-09-26 18:41:00,130,0,10,26,30,0,"Slightly healthy",1,"Filtered water, Pineapple Juice Concetrated, Ascorbic Acid","Pineapple Juice","Sweet"
2013-09-27 16:07:00,220,3,750,5,7,7,"Neither healthy nor unhealthy",1,"tomato,  water,  enriched wheat flour","boyardee","Salty"
2013-09-25 23:24:00,0,0,0,0,0,0,"Healthy",1,"Water","Water","Sweet"
