Date,City,CO,NO2,SO2,O3,PM2.5,PM10,Type
2024-03-24 10:00:00+00:00,Beijing,828.0,68.7,43.7,15.0,64.3,97.3,Industrial
2024-09-06 17:00:00+00:00,Beijing,1734.0,95.7,74.9,0.0,140.6,201.2,Industrial
2024-05-06 19:00:00+00:00,Beijing,858.0,64.8,39.1,0.0,88.2,129.9,Industrial
2024-12-24 05:00:00+00:00,Beijing,3875.0,81.1,217.8,11.0,147.1,149.9,Industrial
2024-01-16 00:00:00+00:00,Beijing,3761.0,51.3,259.8,1.0,279.4,398.6,Industrial
2024-11-12 20:00:00+00:00,Beijing,2059.0,56.5,101.8,0.0,173.2,180.2,Industrial
2024-07-21 20:00:00+00:00,Beijing,506.0,66.5,28.9,18.0,67.1,97.1,Industrial
2024-01-31 16:00:00+00:00,Beijing,1875.0,56.8,116.9,0.0,121.1,174.2,Industrial
2024-05-23 05:00:00+00:00,Beijing,494.0,20.2,26.8,148.0,83.4,122.9,Industrial
2024-09-01 06:00:00+00:00,Beijing,230.0,11.3,5.8,88.0,9.0,13.4,Industrial
2024-09-23 15:00:00+00:00,Beijing,1285.0,76.6,65.9,0.0,92.0,131.3,Industrial
2024-03-06 02:00:00+00:00,Beijing,779.0,30.6,37.5,49.0,39.1,59.3,Industrial
2024-06-23 04:00:00+00:00,Beijing,161.0,5.9,4.1,79.0,20.8,45.9,Industrial
2024-11-23 22:00:00+00:00,Beijing,2375.0,55.1,103.6,0.0,149.0,150.4,Industrial
2024-11-06 21:00:00+00:00,Beijing,1465.0,42.0,95.6,0.0,122.5,176.0,Industrial
2024-08-20 19:00:00+00:00,Beijing,602.0,59.2,24.9,6.0,28.9,41.3,Industrial
2024-12-20 15:00:00+00:00,Beijing,499.0,19.8,19.5,35.0,20.5,27.5,Industrial
2024-02-19 19:00:00+00:00,Beijing,285.0,11.4,10.3,57.0,18.2,26.1,Industrial
2024-02-22 05:00:00+00:00,Beijing,245.0,8.5,9.7,77.0,10.2,14.8,Industrial
2024-08-25 17:00:00+00:00,Beijing,508.0,35.5,21.3,106.0,36.8,52.5,Industrial
2024-09-12 10:00:00+00:00,Beijing,931.0,81.5,45.1,28.0,74.7,106.9,Industrial
2024-12-05 21:00:00+00:00,Beijing,1259.0,51.1,104.1,2.0,92.4,94.1,Industrial
2024-12-29 04:00:00+00:00,Beijing,6414.0,45.0,145.4,13.0,95.5,96.4,Industrial
2024-06-11 15:00:00+00:00,Beijing,871.0,98.9,34.6,0.0,60.1,89.6,Industrial
2024-08-17 21:00:00+00:00,Beijing,450.0,33.8,25.3,73.0,33.5,48.1,Industrial
2024-10-04 09:00:00+00:00,Beijing,720.0,81.2,48.6,27.0,71.9,103.4,Industrial
2024-11-19 20:00:00+00:00,Beijing,2280.0,47.0,45.3,1.0,83.8,84.5,Industrial
2024-12-18 03:00:00+00:00,Beijing,817.0,26.4,35.2,50.0,27.8,28.0,Industrial
2024-08-16 04:00:00+00:00,Beijing,718.0,71.1,59.3,104.0,84.8,125.3,Industrial
2024-05-25 01:00:00+00:00,Beijing,401.0,56.9,35.2,42.0,51.1,78.0,Industrial
