"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"17 years old","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.63,68.04,"Rarely wore a helmet","Always","0 days","2 or 3 times","No","No","Yes","0 days","3 to 5 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","1 to 3 times","Did not eat green salad","1 to 3 times","1 glass per day","7 days","6 days","3 hours per day","5 or more hours per day","2 teams","Yes",NA,"4 to 6 times","4 or more times per day","2 times"
"18 years old or older","Male","12th grade","No","White",1.8,77.11,"Never wore a helmet","Always","10 to 19 days","0 times","No","No","Yes","3 to 5 days","10 to 19 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 times","1 glass per day","1 day","3 days","2 hours per day","1 hour per day","1 team","No","7 hours",NA,NA,NA
"17 years old","Female","11th grade","No","White",1.68,63.5,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 time per day","4 to 6 times","Did not drink soda or pop","Did not drink milk","6 days","3 days","No TV on average school day","2 hours per day","0 teams","No","7 hours","Did not drink sports drink","4 or more times per day","5 or more times"
"18 years old or older","Male","12th grade","Yes","Multiple - Hispanic / Latino",1.8,102.97,"Never wore a helmet","Always","All 30 days",NA,"No","No","Yes","0 days","1 or 2 days","Heterosexual (straight)","Very overweight","3 times per day","1 to 3 times","4 to 6 times","4 or more times per day","4 to 6 glasses","7 days","7 days","5 or more hours per day","5 or more hours per day","1 team","No","5 hours",NA,NA,NA
"16 years old","Male","10th grade","No","White",1.9,54.43,"Did not ride a bicycle","Rarely","0 days","1 time","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times",NA,NA,"Did not drink soda or pop","4 or more glasses per day","0 days","7 days","1 hour per day","No playing video/computer game","0 teams","No","6 hours","Did not drink sports drink","4 to 6 times","2 times"
"16 years old","Male","11th grade","No","Black or African American",1.68,83.92,"Never wore a helmet","Always","0 days","0 times","Yes","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","Did not eat green salad","Did not drink soda or pop","1 glass per day","7 days","7 days","No TV on average school day","Less than 1 hour per day","2 teams","Yes","6 hours","4 to 6 times","4 or more times per day","0 times"
"17 years old","Male","11th grade","No","White",1.78,77.11,"Never wore a helmet","Always","20 to 29 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","2 times per day","1 to 3 times","1 to 3 times","1 to 3 glasses","7 days","7 days","Less than 1 hour per day","1 hour per day","2 teams","No","9 hours","1 to 3 times","3 times per day","5 or more times"
"17 years old","Female","11th grade","No","White",NA,NA,"Did not ride a bicycle","Always","6 to 9 days","0 times","No","No","Yes","0 days","0 days","bisexual","Slightly overweight","4 to 6 times","1 to 3 times","Did not eat green salad","Did not drink soda or pop","Did not drink milk","0 days","0 days","2 hours per day","4 hours per day","0 teams","No","8 hours","Did not drink sports drink","3 times per day","5 or more times"
"18 years old or older","Male","12th grade","No","White",1.9,120.2,"Did not ride a bicycle","Most of the time","All 30 days","8 or 9 times","Yes","No","No","All 30 days","3 to 5 days","Heterosexual (straight)","About the right weight","3 times per day","1 time per day","1 to 3 times","1 to 3 times","Did not drink milk","2 days","0 days","No TV on average school day","Less than 1 hour per day","1 team","Yes","7 hours","Did not drink sports drink","1 to 3 times","1 times"
"17 years old","Male","11th grade","No","White",1.68,94.35,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","4 to 6 glasses","1 day","0 days","No TV on average school day","2 hours per day","0 teams","No","7 hours","Did not drink sports drink","2 times per day","3 times"
"16 years old","Male","12th grade","Yes","Multiple - Hispanic / Latino",1.88,102.06,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days",NA,"bisexual","Slightly overweight","1 to 3 times","Did not eat fruit","Did not eat green salad","4 to 6 times",NA,NA,"1 day","1 hour per day","5 or more hours per day",NA,"No","7 hours",NA,NA,NA
"15 years old","Female","9th grade","No","White",1.7,68.95,"Rarely wore a helmet","Most of the time","3 to 5 days","10 or 11 times","Yes","No","Yes",NA,NA,NA,"Slightly underweight","2 times per day","1 time per day","1 time per day","2 times per day","1 glass per day","1 day","4 days","1 hour per day","5 or more hours per day","1 team","Yes","4 or less hours","1 time per day","3 times per day","3 times"
