"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"15 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",1.73,52.62,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 times","1 to 3 glasses","2 days","2 days","No TV on average school day","3 hours per day","0 teams","No","6 hours","Did not drink sports drink","1 to 3 times","0 times"
"14 years old","Male","9th grade","No","White",1.65,49.9,NA,"Always","I did not drive the past 30 days","0 times","No","No","No","0 days",NA,NA,"About the right weight","Did not drink fruit juice","4 to 6 times","Did not eat green salad","Did not drink soda or pop",NA,"3 days","7 days","No TV on average school day","3 hours per day",NA,NA,"6 hours",NA,"4 or more times per day",NA
"18 years old or older","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.68,58.97,"Never wore a helmet","Always","1 or 2 days","0 times","No","Yes","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","4 to 6 times","1 time per day","1 to 3 glasses","7 days","0 days","2 hours per day","No playing video/computer game","1 team","Yes","6 hours",NA,NA,NA
"17 years old","Female","11th grade","No","Black or African American",1.57,61.24,"Rarely wore a helmet","Most of the time","3 to 5 days","0 times","Yes","No","No",NA,"0 days","Not sure","Slightly overweight","4 to 6 times","4 to 6 times","1 to 3 times","1 time per day","1 to 3 glasses","6 days","5 days","3 hours per day","Less than 1 hour per day","0 teams","Yes","7 hours","1 to 3 times","3 times per day","0 times"
"18 years old or older","Male","Ungraded or other grade","No","Native Hawaiian/other PI",NA,NA,"Did not ride a bicycle","Never",NA,"12 or more times","No","No","Yes","All 30 days","20 to 29 days",NA,"Very overweight","4 or more times per day","4 or more times per day","Did not eat green salad","4 or more times per day","4 to 6 glasses","0 days","0 days","Less than 1 hour per day","Less than 1 hour per day","0 teams","No","10 or more hours","Did not drink sports drink","4 or more times per day","1 times"
"17 years old","Female","11th grade","Yes","Hispanic/Latino",1.63,56.7,"Never wore a helmet","Always","1 or 2 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 glasses","1 day","3 days","1 hour per day","2 hours per day","0 teams","No","7 hours",NA,NA,NA
"17 years old","Male","12th grade","Yes","Hispanic/Latino",1.68,81.65,"Did not ride a bicycle","Always","1 or 2 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","2 times per day","1 time per day","4 to 6 times","1 to 3 times","4 to 6 glasses","5 days","5 days","No TV on average school day","1 hour per day","1 team","No","7 hours","1 to 3 times","3 times per day","0 times"
"15 years old","Female","9th grade","Yes","Hispanic/Latino",1.57,58.97,"Never wore a helmet","Always","0 days","0 times","Yes","No","Yes","0 days","3 to 5 days","Heterosexual (straight)","About the right weight","2 times per day","4 or more times per day","1 to 3 times","Did not drink soda or pop","1 to 3 glasses","0 days","0 days","2 hours per day","5 or more hours per day","0 teams","No","8 hours","4 to 6 times","4 or more times per day","2 times"
"18 years old or older","Male","12th grade","No","White",1.93,106.6,"Never wore a helmet","Most of the time","20 to 29 days","1 time","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","1 time per day","1 to 3 times","1 to 3 times","1 glass per day","7 days","7 days","1 hour per day","1 hour per day","2 teams","No","7 hours","1 to 3 times","4 or more times per day","2 times"
"16 years old","Female","11th grade","No","Black or African American",1.7,74.84,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","4 to 6 times","4 to 6 times","4 to 6 times","1 to 3 glasses","2 days","7 days","5 or more hours per day","1 hour per day","0 teams","No","8 hours","1 to 3 times","4 to 6 times","0 times"
"16 years old","Female","10th grade","No","Asian",1.65,83.01,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","1 or 2 days","bisexual","Slightly overweight","2 times per day","3 times per day","1 time per day","1 to 3 times","Did not drink milk","1 day","0 days","1 hour per day","No playing video/computer game","3 or more teams",NA,"4 or less hours",NA,NA,NA
"16 years old","Female","11th grade","No","White",1.65,109.32,NA,"Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Very overweight","1 to 3 times","1 to 3 times","Did not eat green salad","Did not drink soda or pop","1 to 3 glasses","7 days","4 days","4 hours per day","5 or more hours per day","0 teams","No","8 hours","Did not drink sports drink","4 or more times per day","1 times"
"14 years old","Female","9th grade","No","White",1.68,55.34,"Rarely wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 time per day","4 to 6 times","1 to 3 times","1 glass per day","7 days","1 day","3 hours per day","Less than 1 hour per day","0 teams","No","8 hours","Did not drink sports drink","3 times per day","2 times"
"16 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.73,81.65,"Did not ride a bicycle","Sometimes","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","Did not drink milk","4 days","2 days","2 hours per day","5 or more hours per day","0 teams","No","6 hours","1 to 3 times","4 to 6 times","1 times"
"16 years old","Male","11th grade","No","White",1.63,75.75,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days",NA,"About the right weight","Did not drink fruit juice","1 to 3 times","1 to 3 times","4 to 6 times","1 glass per day","0 days","7 days","Less than 1 hour per day","4 hours per day","0 teams","Yes","6 hours","Did not drink sports drink","4 to 6 times","2 times"
"15 years old","Male","9th grade","Yes","Multiple - Hispanic / Latino",1.78,62.14,"Never wore a helmet","Most of the time",NA,"2 or 3 times","No","No","Yes","1 or 2 days","6 to 9 days","Heterosexual (straight)","About the right weight","1 time per day","2 times per day","1 to 3 times","4 or more times per day","3 glasses per day","0 days","7 days","3 hours per day","Less than 1 hour per day","2 teams","Yes","4 or less hours","4 or more times per day","1 time per day","0 times"
"15 years old","Female","10th grade","No","Am Indian / Alaska Native",1.6,49.9,NA,NA,"0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink soda or pop",NA,NA,"3 days","5 or more hours per day","5 or more hours per day",NA,"Not sure","4 or less hours",NA,NA,NA
"16 years old","Female","10th grade","Yes","Multiple - Hispanic / Latino",1.65,122.47,"Did not ride a bicycle","Never","All 30 days","12 or more times","Yes","No","Yes","1 or 2 days","20 to 29 days","Heterosexual (straight)","Slightly underweight","1 time per day","1 time per day","1 to 3 times","1 time per day","4 to 6 glasses","7 days","0 days","5 or more hours per day","1 hour per day","1 team","Yes","6 hours","4 or more times per day","Did not drink water","0 times"
"15 years old","Male","9th grade","Yes","Hispanic/Latino",1.73,61.24,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","Yes","No","No","0 days","0 days",NA,"About the right weight","1 to 3 times","4 to 6 times","1 to 3 times","4 to 6 times","4 to 6 glasses","4 days","7 days","3 hours per day","5 or more hours per day","3 or more teams","No","8 hours","Did not drink sports drink","4 or more times per day",NA
"18 years old or older","Female","12th grade","No","White",1.65,58.97,"Most of the time wore a helmet",NA,"I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","2 times per day","4 or more times per day","4 to 6 times","1 to 3 times","1 to 3 glasses","7 days","3 days","3 hours per day","5 or more hours per day","0 teams","No","8 hours","Did not drink sports drink","3 times per day","0 times"
"15 years old","Female","10th grade","Yes","Hispanic/Latino",1.6,49.44,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","4 to 6 times","1 to 3 glasses","2 days","0 days","2 hours per day","2 hours per day","0 teams","No","7 hours",NA,NA,NA
"17 years old","Female","11th grade","No","White",1.6,44,"Never wore a helmet","Always","All 30 days","0 times","Yes","Yes","Yes",NA,"1 or 2 days","Heterosexual (straight)","Very underweight","Did not drink fruit juice","4 to 6 times","Did not eat green salad","4 or more times per day","1 glass per day","6 days","1 day","3 hours per day","5 or more hours per day","1 team","No","5 hours","1 to 3 times","1 time per day","5 or more times"
"17 years old","Male","11th grade","No","Multiple - Non-Hispanic",1.83,84.82,"Rarely wore a helmet","Always","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","1 to 3 times","Did not eat green salad","4 or more times per day","4 or more glasses per day","7 days","7 days","Less than 1 hour per day","5 or more hours per day","2 teams","No","7 hours","4 or more times per day","4 or more times per day","0 times"
"17 years old","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.63,102.97,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days",NA,"Slightly overweight","2 times per day","Did not eat fruit","Did not eat green salad","4 to 6 times","1 to 3 glasses","6 days","0 days","5 or more hours per day","No playing video/computer game","0 teams","Yes","4 or less hours","Did not drink sports drink","4 to 6 times","0 times"
"15 years old","Female","10th grade","Yes","Hispanic/Latino",1.57,52.16,NA,"Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","2 times per day","1 to 3 times","1 to 3 times","2 glasses per day","6 days","4 days","1 hour per day","3 hours per day","0 teams","No","8 hours","Did not drink sports drink","4 or more times per day","1 times"
"17 years old","Male","11th grade","No","White",1.88,82.56,"Never wore a helmet","Most of the time","3 to 5 days","0 times","No","No","No","0 days","3 to 5 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","4 to 6 times","1 to 3 glasses","0 days","3 days","No TV on average school day","No playing video/computer game","0 teams","No","5 hours","Did not drink sports drink","4 or more times per day","0 times"
"14 years old","Male","9th grade","Yes","Hispanic/Latino",1.7,54.89,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days",NA,"Slightly underweight","1 to 3 times","3 times per day","Did not eat green salad","1 time per day","1 glass per day","7 days","7 days","5 or more hours per day","5 or more hours per day","2 teams","No","8 hours","1 to 3 times","4 or more times per day","0 times"
"16 years old","Female","10th grade","No","Black or African American",1.7,74.84,"Never wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","4 to 6 times","2 times per day","1 time per day","Did not drink soda or pop","1 glass per day","1 day","7 days","No TV on average school day","3 hours per day","1 team","No","7 hours","Did not drink sports drink","4 or more times per day","1 times"
"15 years old","Male","10th grade","No","White",1.78,54.43,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 time per day","1 to 3 times","Did not drink soda or pop",NA,NA,"5 days","1 hour per day","5 or more hours per day",NA,"No","7 hours",NA,NA,NA
"16 years old","Female","10th grade","No","Black or African American",1.63,63.5,"Never wore a helmet","Most of the time","0 days","2 or 3 times","No","No","No",NA,"0 days","bisexual","Slightly overweight","4 or more times per day","4 or more times per day","4 to 6 times","4 or more times per day","3 glasses per day","0 days","3 days","5 or more hours per day","2 hours per day","1 team","Yes","5 hours","4 or more times per day","4 or more times per day","1 times"
