"caseid","V1","V2","V3","V4","V5","V6","V7"
"20161110161593","56","02","Full time","01","400","0","210"
"20160907162101","37","02","Full time","02","520","0","219"
"20160806161685","61","02","Full time","01","840","0","345"
"20160101161376","43","02","Full time","01","510","0","510"
"20160707162369","47","01","Full time","01","365","0","0"
"20160302161108","42","01","Full time","01","465","0","420"
"20160605161217","85","02","No answer","01","550","0","370"
"20160706161763","44","02","Full time","01","535","0","300"
"20161009162158","57","02","No answer","01","450","0","78"
"20161110162099","72","02","No answer","01","240","0","0"
"20161110161644","30","01","Full time","01","630","0","205"
"20160705160540","53","02","Part time","01","537","0","210"
"20160403161004","58","01","Full time","01","540","0","210"
"20160707161384","72","01","Part time","01","607","0","155"
"20160112151150","59","02","Full time","01","660","0","685"
"20160403162355","41","02","No answer","01","480","0","165"
"20160302160117","85","02","No answer","02","630","0","385"
"20161010162352","32","02","No answer","01","570","0","90"
"20160201161096","30","01","Full time","01","380","0","345"
"20160504160631","61","01","Full time","01","480","0","220"
"20160908161112","23","01","Full time","01","500","0","295"
"20161110161490","16","01","No answer","01","610","0","60"
"20160605160825","78","02","No answer","02","555","0","455"
"20161110162256","80","01","No answer","01","510","0","750"
"20161211161012","40","02","Part time","01","510","0","120"
"20160111150530","47","01","Full time","01","525","0","135"
"20161211160077","24","02","Full time","01","530","0","71"
"20160201160871","62","01","No answer","02","570","0","340"
"20161211161924","49","01","Full time","01","570","0","278"
"20160201160872","68","02","No answer","01","560","0","324"
"20160705161638","34","01","Full time","01","480","0","60"
"20161211161428","74","02","No answer","01","480","0","83"
"20160201160003","38","02","Full time","01","764","0","382"
"20160807160826","44","02","No answer","01","525","0","40"
"20160605161561","27","01","Full time","01","690","0","285"
"20160503160847","53","02","Full time","01","420","0","280"
"20160705160662","65","02","No answer","02","660","0","300"
"20161009161000","60","01","No answer","02","720","0","480"
"20161210161097","52","02","Full time","01","600","0","60"
"20160301161880","37","02","Part time","01","510","0","374"
